researchExp,industryExp,toeflScore,greV,greQ,greA,univName,cgpaNorm
0,0,113.0,154.0,166.0,4.0,Virginia Tech,0.61
12,24,111.0,158.0,170.0,4.5,Virginia Tech,0.912
0,0,111.0,165.0,164.0,4.0,Virginia Tech,0.6
0,0,111.0,152.0,161.0,4.0,Virginia Tech,0.91
0,27,105.0,154.0,165.0,3.5,Virginia Tech,0.701
4,22,116.0,152.0,167.0,4.0,Virginia Tech,0.947
0,0,116.0,158.0,170.0,4.0,Virginia Tech,0.852
0,0,117.0,158.0,170.0,4.5,Virginia Tech,0.927
0,0,105.0,167.0,168.0,4.0,Virginia Tech,0.713
0,0,109.0,154.0,162.0,3.5,Virginia Tech,0.8699999999999999
0,0,117.0,160.0,162.0,4.0,Virginia Tech,0.91
0,0,101.0,163.0,164.0,3.5,Virginia Tech,0.875
0,0,112.0,156.0,163.0,4.0,Virginia Tech,0.745
0,0,112.0,154.0,166.0,4.5,Virginia Tech,0.75
0,0,103.0,168.0,166.0,4.0,Virginia Tech,0.882
0,0,112.0,152.0,165.0,4.5,Virginia Tech,0.748
7,0,114.0,163.0,166.0,4.5,Virginia Tech,0.8949999999999999
0,0,114.0,168.0,166.0,4.0,Virginia Tech,0.8
0,0,108.0,161.0,167.0,4.0,Virginia Tech,0.8089999999999999
0,0,115.0,161.0,170.0,4.5,Virginia Tech,0.8039999999999999
0,0,117.0,168.0,166.0,4.5,Virginia Tech,0.7822
0,0,111.0,162.0,168.0,3.0,Virginia Tech,0.772
0,0,110.0,160.0,170.0,4.0,Virginia Tech,0.8513999999999999
9,18,108.0,156.0,163.0,3.0,Virginia Tech,0.7
0,0,102.0,150.0,165.0,3.0,Virginia Tech,0.808
0,0,111.0,148.0,167.0,4.0,Virginia Tech,0.8939999999999999
0,0,117.0,157.0,166.0,5.5,Virginia Tech,0.79
0,0,107.0,165.0,167.0,4.0,Virginia Tech,0.754
0,0,112.0,158.0,168.0,5.0,Virginia Tech,0.9
0,44,107.0,152.0,170.0,3.5,Virginia Tech,0.85
0,0,114.0,162.0,166.0,5.0,Virginia Tech,0.788
0,0,112.0,158.0,166.0,3.0,Virginia Tech,0.776
0,0,110.0,151.0,164.0,4.0,Virginia Tech,0.934
0,0,102.0,154.0,164.0,3.5,Virginia Tech,0.6900000000000001
0,0,101.0,152.0,163.0,3.5,Virginia Tech,0.852
0,0,113.0,146.0,166.0,3.0,Virginia Tech,0.37
0,0,112.0,162.0,166.0,3.5,Virginia Tech,0.795
0,0,110.0,153.0,160.0,4.0,Virginia Tech,0.8960000000000001
0,0,115.0,155.0,164.0,4.5,Virginia Tech,0.8300000000000001
0,0,106.0,153.0,166.0,4.5,Virginia Tech,0.8009999999999999
0,24,103.0,156.0,166.0,3.5,Virginia Tech,0.78
0,0,100.0,150.0,160.0,4.0,Virginia Tech,0.794
0,0,105.0,146.0,166.0,4.0,Virginia Tech,0.92
6,14,104.0,158.0,164.0,3.5,Virginia Tech,0.918
0,0,97.0,154.0,160.0,3.0,Virginia Tech,0.9925
0,0,109.0,155.0,170.0,3.5,Virginia Tech,0.8
10,16,116.0,167.0,166.0,4.0,Virginia Tech,0.585
0,0,114.0,161.0,166.0,4.5,Virginia Tech,0.8
0,0,110.0,159.0,166.0,4.0,Virginia Tech,0.89
0,0,101.0,152.0,161.0,3.5,Virginia Tech,0.8460000000000001
0,0,117.0,161.0,166.0,3.5,Virginia Tech,0.8960000000000001
0,0,114.0,166.0,166.0,4.0,Virginia Tech,0.816
0,0,113.0,157.0,164.0,5.0,Virginia Tech,0.8230000000000001
0,22,101.0,153.0,162.0,4.0,Virginia Tech,0.959
15,0,118.0,155.0,168.0,4.0,Virginia Tech,0.7030000000000001
0,0,108.0,159.0,162.0,3.5,Virginia Tech,0.94
2,34,113.0,154.0,163.0,4.0,Virginia Tech,0.9
0,0,114.0,157.0,164.0,4.0,Virginia Tech,0.795
30,0,114.0,156.0,168.0,5.0,Virginia Tech,0.7896
0,0,107.0,156.0,166.0,3.5,Virginia Tech,0.0874
0,0,112.0,170.0,166.0,4.0,Virginia Tech,0.8470000000000001
0,0,111.0,157.0,164.0,3.5,Virginia Tech,0.8960000000000001
0,0,116.0,161.0,160.0,3.0,Virginia Tech,0.86
0,0,110.0,156.0,166.0,3.5,Virginia Tech,0.83
0,0,115.0,164.0,166.0,4.0,Virginia Tech,0.8400000000000001
0,0,107.0,158.0,161.0,3.0,Virginia Tech,0.932
0,0,108.0,162.0,166.0,4.0,Virginia Tech,0.79
0,0,109.0,154.0,164.0,3.0,Virginia Tech,0.8400000000000001
0,0,116.0,167.0,170.0,4.0,Virginia Tech,0.947
0,0,117.0,164.0,166.0,3.5,Virginia Tech,0.925
0,0,111.0,157.0,163.0,3.0,Virginia Tech,0.752
0,0,120.0,165.0,169.0,3.5,Virginia Tech,0.819
0,0,100.0,148.0,161.0,3.0,Virginia Tech,0.85
0,7,114.0,166.0,170.0,3.5,Virginia Tech,0.67
0,0,109.0,155.0,166.0,4.0,Virginia Tech,0.79
0,0,114.0,157.0,166.0,4.0,Virginia Tech,0.927
0,0,114.0,156.0,166.0,4.5,Virginia Tech,0.8865000000000001
0,0,105.0,150.0,163.0,3.5,Virginia Tech,0.8388
0,0,113.0,164.0,170.0,3.5,Virginia Tech,0.773
0,0,110.0,161.0,166.0,4.0,Virginia Tech,0.899
0,0,110.0,150.0,167.0,3.5,Virginia Tech,0.083
10,0,112.0,155.0,170.0,5.0,Virginia Tech,0.922
0,0,117.0,160.0,166.0,3.5,Virginia Tech,0.8472
0,0,113.0,158.0,166.0,4.5,Virginia Tech,0.8029999999999999
0,30,104.0,155.0,165.0,3.5,Virginia Tech,0.71
0,0,105.0,158.0,161.0,3.5,Virginia Tech,0.68
0,0,105.0,158.0,166.0,3.0,Virginia Tech,0.843
0,0,108.0,155.0,166.0,4.0,Virginia Tech,0.8960000000000001
0,0,116.0,168.0,166.0,4.5,Virginia Tech,0.97
0,0,112.0,154.0,168.0,4.0,Virginia Tech,0.92
0,0,109.0,162.0,165.0,3.0,Virginia Tech,0.7110000000000001
0,17,108.0,149.0,157.0,4.0,Virginia Tech,0.795
1,0,107.0,151.0,161.0,4.0,Virginia Tech,0.935
0,0,97.0,155.0,166.0,3.5,Virginia Tech,0.94
0,0,103.0,164.0,164.0,3.0,Virginia Tech,0.903
0,0,98.0,159.0,160.0,3.0,Virginia Tech,0.72
0,0,119.0,164.0,163.0,4.0,Virginia Tech,0.8699999999999999
0,0,117.0,170.0,159.0,3.5,Virginia Tech,0.956
0,0,110.0,155.0,170.0,3.5,Virginia Tech,0.926
0,0,115.0,163.0,166.0,4.0,Virginia Tech,0.6515000000000001
0,0,103.0,155.0,161.0,3.5,Virginia Tech,0.8278
0,0,105.0,147.0,166.0,3.5,Virginia Tech,0.77
0,24,111.0,163.0,167.0,4.0,Virginia Tech,0.083
0,0,116.0,163.0,167.0,5.5,Virginia Tech,0.881
0,0,100.0,158.0,164.0,3.5,Virginia Tech,0.8470000000000001
0,0,115.0,156.0,166.0,3.5,Virginia Tech,0.768
0,0,115.0,156.0,163.0,4.5,Virginia Tech,0.8869999999999999
